Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
11:00:00,Tuesday,31-50,Male,High school,Employee,Above 10yr,Public (> 45 seats),Organization,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
17:15:00,Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,18-30,3,,,Crossing from driver's nearside,No priority to pedestrian,Slight Injury
4:40:00,Monday,31-50,Male,Junior high school,Employee,,Lorry (41?100Q),Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,Other,Slight Injury
19:00:00,Friday,Under 18,Male,Junior high school,Owner,Above 10yr,Ridden horse,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
15:00:00,Sunday,Unknown,Female,Junior high school,Employee,1-2yr,Automobile,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving to the left,Slight Injury
21:19:00,Wednesday,18-30,Male,Above high school,Owner,1-2yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
13:15:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,,Office areas,One way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
7:30:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,2,1,,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
13:40:00,Thursday,Under 18,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Serious Injury
7:35:00,Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Raining,Collision with animals,3,1,Going straight,Pedestrian,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
9:34:00,Thursday,18-30,Male,Junior high school,Owner,1-2yr,Public (13?45 seats),Owner,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
14:47:00,Tuesday,Unknown,Female,Elementary school,Employee,1-2yr,Stationwagen,Owner,Below 1yr,,Other,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
0:10:00,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining and Windy,Collision with pedestrians,2,1,Reversing,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
13:13:00,Friday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
7:28:00,Sunday,31-50,Male,High school,Employee,Below 1yr,Lorry (41?100Q),Owner,,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
21:23:00,Monday,18-30,Male,High school,Owner,,Stationwagen,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Gravel roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
14:00:00,Wednesday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Raining,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,Serious Injury
13:03:00,Saturday,Under 18,Male,Junior high school,Employee,2-5yr,Other,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
17:35:00,Thursday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
7:30:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
16:38:00,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
13:50:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,Under 18,3,,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury
16:40:00,Tuesday,18-30,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
17:55:00,Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,2,Reversing,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
11:20:00,Tuesday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Passenger,Male,Under 18,2,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
19:37:00,Thursday,18-30,Male,Above high school,Employee,Above 10yr,,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
20:55:00,Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,Turnover,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
4:46:00,Sunday,31-50,Male,Junior high school,Employee,2-5yr,,Owner,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,7,Going straight,Pedestrian,Female,Over 51,3,Employee,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Driving under the influence of drugs,Slight Injury
18:58:00,Thursday,18-30,Male,Above high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
14:00:00,Sunday,31-50,Male,High school,Employee,Above 10yr,Public (12 seats),Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
0:25:00,Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
7:30:00,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
14:29:00,Saturday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
9:16:00,Friday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
10:30:00,Friday,Unknown,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Passenger,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
12:26:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,,Owner,5-10yrs,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,Over 51,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
11:28:00,Tuesday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,Above 10yr,,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No distancing,Slight Injury
12:45:00,Saturday,18-30,Male,High school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
15:44:00,Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Organization,2-5yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
13:00:00,Wednesday,18-30,Male,High school,Owner,5-10yr,Lorry (41?100Q),Organization,Unknown,,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Getting off,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18:10:00,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Governmental,1-2yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
12:35:00,Monday,Over 51,Male,Junior high school,Employee,,Special vehicle,Owner,Unknown,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Male,5,2,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20:35:00,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),,,,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,3,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
23:20:00,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Self-employed,Normal,Unknown or other,Driving carelessly,Serious Injury
18:37:00,Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Other,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
12:50:00,Wednesday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Crossing,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury
11:27:00,Thursday,Over 51,Male,Junior high school,Owner,1-2yr,Lorry (41?100Q),Owner,Below 1yr,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
22:00:00,Saturday,31-50,Male,,,,Other,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,1,1,Other,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
9:05:00,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Serious Injury
8:40:00,Wednesday,Over 51,Male,High school,Employee,2-5yr,Other,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
22:05:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Wet or damp,Daylight,Normal,,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Moving Backward,Slight Injury
19:40:00,Thursday,18-30,Male,Elementary school,Owner,5-10yr,Public (13?45 seats),Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,18-30,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
12:30:00,Thursday,31-50,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
14:10:00,Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Male,31-50,2,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
14:35:00,Saturday,Unknown,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,2-5yrs,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Turnover,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
15:16:00,Thursday,18-30,Male,Junior high school,Employee,5-10yr,,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,,,Not a Pedestrian,No distancing,Slight Injury
7:30:00,Friday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
18:30:00,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
9:28:00,Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,1,1,Going straight,na,na,na,na,,Normal,Not a Pedestrian,Overtaking,Slight Injury
7:50:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
10:58:00,Tuesday,Over 51,Male,Elementary school,Owner,5-10yr,Public (12 seats),Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,,,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
8:43:00,Wednesday,31-50,Male,Illiterate,Employee,2-5yr,Public (> 45 seats),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
20:30:00,Wednesday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No distancing,Fatal injury
12:49:00,Sunday,Over 51,Male,High school,Employee,1-2yr,,Owner,,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Passenger,Male,31-50,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
11:30:00,Tuesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,4,6,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
17:22:00,Tuesday,Over 51,Male,Junior high school,Employee,Above 10yr,,Other,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
7:20:00,Thursday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect, Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
6:15:00,Wednesday,18-30,Male,High school,Owner,2-5yr,Automobile,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,1,1,Reversing,na,na,na,na,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
10:12:00,Tuesday,18-30,Male,Elementary school,Owner,5-10yr,,Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
9:25:00,Tuesday,Unknown,Female,,,,Public (13?45 seats),Owner,Unknown,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,6,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
8:05:00,Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,4,2,Moving Backward,Pedestrian,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
8:28:00,Monday,18-30,Male,Elementary school,Owner,1-2yr,Motorcycle,Owner,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Other,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
13:30:00,Saturday,Unknown,Female,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
14:00:00,Saturday,18-30,Female,Elementary school,Employee,Below 1yr,Automobile,Owner,,,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Other,Normal,Not a Pedestrian,No distancing,Slight Injury
19:31:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,5-10yrs,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
16:00:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Other,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,Driver or rider,Male,18-30,3,,,Not a Pedestrian,No distancing,Serious Injury
8:40:00,Monday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,5-10yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Other,Driver or rider,Female,18-30,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
19:28:00,Friday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,3,5,Entering a junction,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
